Sample;Plant_species;P-Ser;Asp;OH-Pro;Thr;Ser;Glu;A-AAA;Pro;Gly;Ala;Citr;Val;Cys;Met;Ile;Leu;Tyr;B-ALA;Phe;B-AIBA;GABA;Ammoniumsulfat;Orn;Lysin;1-Meth;His;Arg;Summe_AS_(mg/g);Summe_AS_essential(mg/g);Summe_AS_non_essential(mg/g);;;;;;;
NB154;Campanula_patula;0.36409361;11.8877126;0;3.93834478;5.94828727;9.72465058;0;8.62441215;6.66646441;7.34886512;0;2.96709803;0.34989662;2.3831516;2.20604279;7.41600831;3.40466207;0;4.38502793;0;0;2.06751192;0;7.1414932;0;2.1497472;4.55211538;9.352558557;2.999753602;6.352804955;;;;;;;
NB270;Campanula_rotundifolia;0.0577512;3.44152142;0;1.18930068;1.83092435;2.66941915;0;1.74720376;2.34248823;2.40027684;0;0.85135047;0;0.58370732;0.58587157;2.32988477;0.88971068;0;1.20946837;0;0;1.1362847;0;2.02540958;0;0.605376;1.21566458;2.711161367;0.857062376;1.854098991;;;;;;;
NB26;Capsella_bursa_pastoris;0.15131639;6.25575489;0;2.20220566;3.43392255;5.45690652;0.74472406;3.55518032;4.28432338;3.9037484;0;1.62394253;0;0.7861148;1.05884081;3.59677361;1.26940127;0;2.05425689;0;0.06772713;1.8380932;0;3.74450454;0;0.8678784;2.38141816;4.927703351;1.457143086;3.470560265;;;;;;;
J137_1;Carduus_acanthoides;0.195943277;15.3777729;7.978898245;6.099671923;8.784624155;12.33692586;0.402896;41.7011607;8.830015742;11.61394932;0;3.692420026;1.97281649;2.817358039;2.928350142;10.24582276;4.605566245;0;5.288830039;0;1.077002555;2.564161548;0.064104206;11.48762255;0;6.426962168;5.159062245;17.16519371;4.265847734;12.89934598;;;;;;;
NB465;Carduus_nutans;0.21831928;14.47570755;8.73888128;5.86435696;8.851914373;13.11869181;0;35.9489528;8.494190507;12.15290736;0;3.587226347;1.68479136;2.58044384;2.88786944;10.02885803;4.34918656;0;5.186531093;0;0.83972888;2.3068368;0.05319728;12.89179904;0;6.701080747;4.917503413;16.58789747;4.175386987;12.41251049;;;;;;;
NB76;Caroinus_betulus;0;10.60544696;0;3.168257532;4.996782117;10.24242231;0;5.432158537;5.930709278;6.470224683;0;2.72447122;0.32915239;1.46044238;2.104128;7.9580928;3.308376117;0;4.028091746;0;0.197076907;2.433366439;0.159104312;6.14206882;0;1.794263415;4.911624234;8.43962602;2.814937133;5.624688887;;;;;;;
LN384;Carum_carvi;0.01748483;1.59189238;0;0.57863544;0.95511646;1.07093326;0;1.41978152;1.02052812;1.01299846;0;0.42425679;0.04357933;0.26262873;0.34749834;1.06174306;0.34648785;0;0.5378912;0;0.01883082;0.67607668;0;0.73171975;0;0.26705861;0.50588752;1.289102915;0.398559969;0.890542946;;;;;;;
FR62;Centaurea_cyanus;0;9.570276923;0.727707692;4.173323077;6.831507692;6.9684;0;8.568507692;8.905384615;8.496184615;0;2.258907692;0;1.323461538;2.001092308;6.710492308;1.968138462;0;2.801538462;0;0;5.153353846;0;7.269461538;0;2.233338462;2.935061538;8.889613846;2.443721538;6.445892308;;;;;;;
NB330;Centaurea_jacea;0;2.1211784;0;0.73940167;1.20657348;1.56874572;0;1.4419449;1.45967091;1.527012;0;0.46206633;0;0.39009018;0.37540693;1.53833193;0.57013207;0;0.75431321;0;0;0.85911709;0;1.31962778;0;0.42925498;0.76491748;1.752778506;0.545378271;1.207400235;;;;;;;
LN279;Chaerophyllum_aureum;0.448921239;27.3345495;2.769237987;9.09794911;14.4012224;21.9278079;0;55.45773448;12.21079486;14.0175569;0;6.809698065;1.773258968;4.502490219;5.466181368;14.09027055;5.972024671;0;8.349613006;0;0.288972671;4.515630968;0.141786632;14.74390214;0;10.57342555;8.06067231;24.29537015;6.695030018;17.60034013;;;;;;;
J567_1;Chelidonium_majus;0.158009154;13.54267561;0;5.101882939;7.503688623;11.05000335;0;7.326408202;7.031465962;8.420546501;0;3.819071798;0.292670223;2.570185162;2.945221794;9.652165794;4.221998147;0;5.304443318;0;0.058656303;2.368983411;0;8.778980665;0;2.867899958;5.947518063;10.8962475;3.820838883;7.075408616;;;;;;;
NA;Cichorium_intybus;0;6.681305263;1.832378947;3.299494737;4.634315789;4.892547368;0;5.166189474;7.729852632;7.288168421;0;1.503242105;0.211284211;0.658484211;1.323873684;4.527115789;1.443621053;0;1.824926316;0;0;4.099831579;0;5.209136842;0;1.652505263;1.9952;6.597347368;1.678484211;4.918863158;;;;;;;
J151_1;Cirsium_acaule;0.368283671;14.65415341;6.648034729;6.446140376;8.340093035;13.30683906;0;35.60739016;8.387945506;10.74667595;0;3.779355294;0;3.181997176;2.755014776;10.55230795;3.743123012;0;4.964940235;0;0.129251012;2.790321882;0;11.3784192;0;5.499411576;5.064834259;15.83445323;4.224400165;11.61005306;;;;;;;
