project;name;sample_name_old;new_name;bees_in_pool;aim_id;host;host_genus;season;bioregion;plot;sampletype;year;sample_affiliation;project_person;collection;LUI_cat;G_STD;M_STD;F_STD;LUI_value_overall2021_global.ALB..HAI.;seq_run;well_in_pcr_plate
ITS2_susy4pAB;AIM20201006NGSeco-A-033-E035;AIM20201006NGSeco-A-033-E035;Z_031;4;33;Bombus_lapidarius;Bombus;2;Alb;AEG06;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-034-E035;AIM20201006NGSeco-A-034-E035;Z_032;9;34;Bombus_lapidarius;Bombus;2;Alb;AEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-035-E035;AIM20201006NGSeco-A-035-E035;Z_033;9;35;Bombus_lapidarius;Bombus;2;Alb;AEG09;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM250;AIM250;Z_084;5;98;Bombus_pascuorum;Bombus;2;Belgium;BELAS;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-036-E035;AIM20201006NGSeco-A-036-E035;Z_035;7;36;Bombus_lapidarius;Bombus;2;Hainich;HEG17;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-037-E035;AIM20201006NGSeco-A-037-E035;Z_036A;10;37;Bombus_lapidarius;Bombus;2;Hainich;HEG02;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-038-E035;AIM20201006NGSeco-A-038-E035;Z_036B;7;38;Bombus_lapidarius;Bombus;2;Hainich;HEG02;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-039-E035;AIM20201006NGSeco-A-039-E035;Z_037;5;39;Bombus_lapidarius;Bombus;2;Hainich;HEG32;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-040-E035;AIM20201006NGSeco-A-040-E035;Z_038;9;40;Bombus_lapidarius;Bombus;2;Hainich;HEG35;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-041-E035;AIM20201006NGSeco-A-041-E035;Z_039;3;41;Bombus_lapidarius;Bombus;2;Hainich;HEG47;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-042-E035;AIM20201006NGSeco-A-042-E035;Z_040A;10;42;Bombus_lapidarius;Bombus;2;Hainich;HEG50;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-043-E035;AIM20201006NGSeco-A-043-E035;Z_040B;10;43;Bombus_lapidarius;Bombus;2;Hainich;HEG50;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-044-E035;AIM20201006NGSeco-A-044-E035;Z_040C;10;44;Bombus_lapidarius;Bombus;2;Hainich;HEG50;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-045-E035;AIM20201006NGSeco-A-045-E035;Z_040D;5;45;Bombus_lapidarius;Bombus;2;Hainich;HEG50;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-046-E035;AIM20201006NGSeco-A-046-E035;Z_041;9;46;Bombus_lapidarius;Bombus;2;Hainich;HEG06;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-047-E035;AIM20201006NGSeco-A-047-E035;Z_042A;10;47;Bombus_lapidarius;Bombus;2;Hainich;HEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-048-E035;AIM20201006NGSeco-A-048-E035;Z_042B;10;48;Bombus_lapidarius;Bombus;2;Hainich;HEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-049-E035;AIM20201006NGSeco-A-049-E035;Z_042C;7;49;Bombus_lapidarius;Bombus;2;Hainich;HEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-050-E035;AIM20201006NGSeco-A-050-E035;Z_043;4;50;Bombus_lapidarius;Bombus;2;Hainich;HEG08;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-051-E035;AIM20201006NGSeco-A-051-E035;Z_044A;10;51;Bombus_lapidarius;Bombus;2;Hainich;HEG09;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-052-E035;AIM20201006NGSeco-A-052-E035;Z_044B;7;52;Bombus_lapidarius;Bombus;2;Hainich;HEG09;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;Z-211-S197;Z-211;Z_211;4;;Andrena_haemorrhoa;Andrena;3;Belgium;BELAS;bee_leg_pollen;2021;bee_leg_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-053-E035;AIM20201006NGSeco-A-053-E035;Z_046;4;53;Bombus_lapidarius;Bombus;2;Schorfheide;SEG16;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-054-E035;AIM20201006NGSeco-A-054-E035;Z_047;3;54;Bombus_lapidarius;Bombus;2;Schorfheide;SEG22;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-055-E035;AIM20201006NGSeco-A-055-E035;Z_048;3;55;Bombus_lapidarius;Bombus;2;Schorfheide;SEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-056-E035;AIM20201006NGSeco-A-056-E035;Z_049;4;56;Bombus_lapidarius;Bombus;2;Schorfheide;SEG04;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-057-E035;AIM20201006NGSeco-A-057-E035;Z_050;9;57;Bombus_lapidarius;Bombus;2;Schorfheide;SEG46;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-058-E035;AIM20201006NGSeco-A-058-E035;Z_051;3;58;Bombus_terrestris;Bombus;1;Alb;AEG01;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-059-E035;AIM20201006NGSeco-A-059-E035;Z_052;8;59;Bombus_terrestris;Bombus;1;Schorfheide;SEG05;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-060-E035;AIM20201006NGSeco-A-060-E035;Z_053;5;60;Bombus_terrestris;Bombus;2;Alb;AEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;Z-212A-S208;Z-212A;Z_212A;8;;Apis_mellifera;Apis;3;Belgium;BELAS;bee_leg_pollen;2021;bee_leg_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-062-E035;AIM20201006NGSeco-A-062-E035;Z_055;5;62;Bombus_terrestris;Bombus;2;Hainich;HEG42;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-063-E035;AIM20201006NGSeco-A-063-E035;Z_056;3;63;Bombus_terrestris;Bombus;2;Hainich;HEG07;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-064-E035;AIM20201006NGSeco-A-064-E035;Z_058;4;64;Bombus_terrestris;Bombus;2;Hainich;HEG08;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-065-E035;AIM20201006NGSeco-A-065-E035;Z_059;12;65;Bombus_terrestris;Bombus;2;Hainich;HEG09;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;Z-212B-S138;Z-212B;Z_212B;7;;Apis_mellifera;Apis;3;Belgium;BELAS;bee_leg_pollen;2021;bee_leg_pollen;susi_ale;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-067-E035;AIM20201006NGSeco-A-067-E035;Z_061A;10;67;Bombus_terrestris;Bombus;2;Schorfheide;SEG16;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-068-E035;AIM20201006NGSeco-A-068-E035;Z_061B;10;68;Bombus_terrestris;Bombus;2;Schorfheide;SEG16;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-069-E035;AIM20201006NGSeco-A-069-E035;Z_061C;7;69;Bombus_terrestris;Bombus;2;Schorfheide;SEG16;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-070-E035;AIM20201006NGSeco-A-070-E035;Z_062A;10;70;Bombus_terrestris;Bombus;2;Schorfheide;SEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-071-E035;AIM20201006NGSeco-A-071-E035;Z_062B;10;71;Bombus_terrestris;Bombus;2;Schorfheide;SEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-072-E035;AIM20201006NGSeco-A-072-E035;Z_062C;10;72;Bombus_terrestris;Bombus;2;Schorfheide;SEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-073-E035;AIM20201006NGSeco-A-073-E035;Z_062D;12;73;Bombus_terrestris;Bombus;2;Schorfheide;SEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-074-E035;AIM20201006NGSeco-A-074-E035;Z_063A;11;74;Bombus_terrestris;Bombus;2;Schorfheide;SEG04;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-075-E035;AIM20201006NGSeco-A-075-E035;Z_063B;12;75;Bombus_terrestris;Bombus;2;Schorfheide;SEG04;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-076-E035;AIM20201006NGSeco-A-076-E035;Z_064;4;76;Bombus_terrestris;Bombus;2;Schorfheide;SEG46;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-077-E035;AIM20201006NGSeco-A-077-E035;Z_065;4;77;Bombus_terrestris;Bombus;2;Schorfheide;SEG05;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-078-E035;AIM20201006NGSeco-A-078-E035;Z_066;3;78;Bombus_hortorum;Bombus;1;Alb;AEG03;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
ITS2_susy4pAB;AIM20201006NGSeco-A-079-E035;AIM20201006NGSeco-A-079-E035;Z_067;5;79;Bombus_hortorum;Bombus;2;Hainich;HEG42;bee_leg_pollen;2020;bee_leg_pollen;aim;;;;;;;;
